,label,tweet_cleaned,tweet_text
0,NO,"looking for a car online ? well , you might want to check out andy 's report tonight at <number> p.m. before going further . <url>","Looking for a car online? Well, you might want to check out Andy's report tonight at 5 p.m. before going further. http://t.co/H3Elp0u3"
1,NO,indiana home explosion now homicide investigation : the house explosion that killed two people and destroyed several . <repeat> <url>,Indiana home explosion now homicide investigation: The house explosion that killed two people and destroyed several... http://t.co/LEVHbGV3
2,YES,traffic <allcaps> : medical emergency on summer ave. at berclair rd. police directing traffic . caution advised .,TRAFFIC: Medical emergency on Summer Ave. at Berclair Rd. Police directing traffic. Caution advised.
3,NO,<number> dodge <allcaps> durango <allcaps> <number> dr <allcaps> auto <allcaps> -LRB- memphis -RRB- $ <number> <number> dodge <allcaps> durango <allcaps> <number> dr <allcaps> auto <allcaps> well <allcaps> cared <allcaps> for <allcaps> cold <allcaps> ac <allcaps> newer <allcaps> tires <allcaps> cle <allcaps> . <repeat> <url>,2002 DODGE DURANGO 4DR AUTO  (Memphis) $3100: 2002 DODGE DURANGO 4DR AUTO WELL CARED FOR COLD AC NEWER TIRES CLE... http://t.co/dP0cE8JU
4,YES,injury crash in cordova on hwy <number> at rockcreek pkwy . <hashtag> memtraffic,Injury crash in Cordova on Hwy 64 at Rockcreek Pkwy.  #memtraffic
5,YES,traffic <allcaps> : accident on mt. moriah north of quince rd.,TRAFFIC: Accident on Mt. Moriah north of Quince Rd.
6,NO,thought about buying a foreign car but do yall know the price of a tuneup on a benz . <repeat> another car note,thought about buying a foreign car but do yall know the price of a tuneup on a benz..... another car note
7,NO,got ta keep my fone n da car while i 'm workin so wen i go on break ima c how loved i am,Gotta keep my fone n da car while I'm workin so wen I go on break ima c how loved I am
8,YES,traffic <allcaps> : injury crash on u.s. highway <number> at rockcreek pkwy .,TRAFFIC: Injury crash on U.S. Highway 64 at Rockcreek Pkwy.
9,YES,multiple injury crash at quince and perkins . stick with willow as an alternate . <hashtag> memtraffic,Multiple injury crash at Quince and Perkins.  Stick with Willow as an alternate.  #memtraffic
10,YES,"-LSB- mfd <allcaps> alert -RSB- house-forestbrook e <number> / <number> / <number> t <number> r <number> e <number> scene <number> swf <allcaps> heavy smoke , preconnect","[MFD Alert] House-ForestBrook E34/50/30 T17 R2. E34 scene 1SWF heavy smoke, preconnect"
11,YES,wow-a woman crashes her car bc she 's shaving . <repeat> down there . weirdest thing you 've seen someone do while driving ? <url>,Wow-a woman crashes her car bc she's shaving...down there. Weirdest thing you've seen someone do while driving? http://t.co/Zn5cvhvK
12,NO,speeding ticket bs <hashtag> speeding <hashtag> car <hashtag> gs <number> <hashtag> fast <hashtag> lane <hashtag> pissed <hashtag> f <hashtag> the <hashtag> police <hashtag> fatty <hashtag> racist <hashtag> bartlett <hashtag> sucks <url>,Speeding ticket bs #speeding #car #gs300 #fast #lane #pissed #f #the #police #fatty #racist #bartlett #sucks http://t.co/SwOXs26d
13,NO,dirty cop news : national police misconduct newsfeed daily recap <number> <number> <number> to <number> <number> <number> here are the <number> reports of . <repeat> <url>,Dirty Cop News: National Police Misconduct NewsFeed Daily Recap 10-17-12 to 10-19-12: Here are the 14 reports of... http://t.co/rzLlOL7j
14,NO,wheew ian starting back to doing no hair until i start my christmas break . <repeat> i need a break,Wheew Ian starting back to doing no hair until I start my Christmas break.... I need a break
15,NO,nov <number> exhibition - fire and desire : <number> am : dixon gallery and gardens . fire and desire : a . <repeat> <url> <hashtag> memphisevents,"Nov 22,2012: Exhibition - Fire And Desire: 10:00am: Dixon Gallery and Gardens. Fire And Desire: A... http://t.co/Bp2pgUct #MemphisEvents"
16,NO,so excited to peace out early for thanksgiving break but instead i 'm stuck at the car shop . why is this always happening to me .,So excited to peace out early for Thanksgiving break but instead I'm stuck at the car shop. Why is this always happening to me.
17,NO,jennifer lawrence explains how honey boo boo caused her car accident : jennifer lawrence is one serious honey boo . <repeat> <url>,Jennifer Lawrence Explains How Honey Boo Boo Caused Her Car Accident: Jennifer Lawrence is one serious Honey Boo... http://t.co/vJbJETVZ
18,NO,"<number> bmw <allcaps> x <number> fully <allcaps> loaded <allcaps> -LRB- memphis <allcaps> , tn <allcaps> -RRB- $ <number> the <allcaps> car <allcaps> runs <allcaps> excellent <allcaps> ! <repeat> cold <allcaps> a / c no <allcaps> accidents <allcaps> one <allcaps> owner <allcaps> le <allcaps> . <repeat> <url>","2001 BMW X5 FULLY LOADED (MEMPHIS, TN) $4995: THE CAR RUNS EXCELLENT!!!!! COLD A/C NO ACCIDENTS ONE OWNER LE... http://t.co/HlcRTAMY"
19,YES,injury crash in whitehaven at shelby & faronia . power outage in the cordova area affecting about <number> customers . <hashtag> memtraffic,Injury crash in Whitehaven at Shelby & Faronia.  Power outage in the Cordova area affecting about 1000 customers. #memtraffic
20,NO,lets crash and burn together .,Lets crash and burn together.
21,YES,<hashtag> mlgw <allcaps> <allcaps> reports <number> w / o power in cordova area . traffic on g ` town rd a mess due to signal lights out outage map : <url>,"#MLGW reports 1,000 w/o power in Cordova area. Traffic on G'town Rd a mess due to signal lights out Outage Map: http://t.co/gplAYuh2"
22,NO,you bite the fry the fry bites back,You bite the fry the fry bites back
23,NO,he also said he had <number> sisters that were all killed in a car wreck . <repeat>,He also said he had 3 sisters that were all killed in a car wreck...
24,NO,at the restaurant this fucking lady purposely smacked my car with her door . so when the bitch come out she go have a big ass dent in her car,At the restaurant this fucking lady purposely smacked my car with her door. So when the bitch come out she go have a big ass dent in her car
25,NO,she got in my car and said damn yo car loud as hell . <repeat> i sounder how yo room smell ? <repeat>,She got in my car and said damn yo car loud as hell... I sounder how yo room smell??????
26,YES,neomemphis news : a look ahea <smile> deadly faith : the family of a mid-south woman who died in a car crash sa . <repeat> <url> <hashtag> memphis,NeoMemphis News: A look ahead: Deadly faith: The family of a Mid-South woman who died in a car crash sa... http://t.co/0fykENLD #memphis
27,NO,"glad that <number> marrow is the last day of school . <repeat> we have a lil mini break , <number> days , but any break will do <number> me lol <smile>","glad that 2marrow is the last day of school..we have a lil mini break,2 days, but any break will do 4 me lol :)"
28,NO,"about <allcaps> to <allcaps> wash <allcaps> my <allcaps> car <allcaps> , vacuum <allcaps> my <allcaps> car <allcaps> then <allcaps> go <allcaps> out <allcaps> and <allcaps> shit <allcaps> on <allcaps> folks <allcaps> n my <allcaps> car <allcaps>","ABOUT TO WASH MY CAR,  VACUUM MY CAR THEN GO OUT AND SHIT ON FOLKS N MY CAR"
29,NO,best buy reports third-quarter loss : new <allcaps> york <allcaps> -LRB- ap <allcaps> -RRB- struggling best buy co. reported another dismal quarter on . <repeat> <url>,Best Buy Reports Third-Quarter Loss: NEW YORK (AP)  Struggling Best Buy Co. reported another dismal quarter on... http://t.co/r0wypVoK
30,YES,<number> victims identified in fatal memphis crash : two people killed monday in a two-car crash on shelby drive near . <repeat> <url>,2 victims identified in fatal Memphis crash: Two people killed Monday in a two-car crash on Shelby Drive near... http://t.co/E6ts87ab
31,NO,miss my parents already . <repeat> watching them pack their truck . <repeat> tears stinging my eyes . <repeat> i 'm a big ole baby . <repeat> ? <repeat>,Miss my parents already .. Watching them pack their truck ..Tears stinging my eyes..I'm a big ole baby .. ??
32,NO,"break does n't feel like a break . <repeat> feels the same with one day of family , food , then work .","Break doesn't feel like a break.... Feels the same with one day of family, food, then work."
33,NO,my ma never <allcaps> comes home on her lunch break and eats lunch but on the day i need the car she choose to do so ! <repeat> smh lol,My ma NEVER comes home on her lunch break and eats lunch but on the day I need the car she choose to do so!!!! Smh Lol
34,YES,the two young men killed in car accident have been identified by police : <url>,The two young men killed in car accident have been identified by police: http://t.co/dYrtHzJc
36,YES,two young men killed in car accident identified <url>,Two young men killed in car accident identified http://t.co/83cTILCT
37,YES,neomemphis news : two young men killed in car accident identifie <smile> the two people killed in a car accide . <repeat> <url> <hashtag> memphis,NeoMemphis News: Two young men killed in car accident identified: The two people killed in a car accide... http://t.co/W9VDEphw #memphis
