,tweet id, tweet, label,tweet_cleaned
0,'325478991496630272',"@iAmNotA_Dyke ..nah, I'm fine with it.",off-topic,"<user> . <repeat> nah , i 'm fine with it ."
1,'325422389854883840',Oomf still on that bullshit from lastnight,off-topic,oomf still on that bullshit from lastnight
2,'325057083135361025',-NO Handouts Here I Work Hard For Mines !,off-topic,- no <allcaps> handouts here i work hard for mines !
3,'324742043211558912',@theatticdemos @youranonnews fertilizer plant caught on fire and exploded.,on-topic,<user> <user> fertilizer plant caught on fire and exploded .
4,'325471165026025474',@_SayMyNameLOUD: Got ate out by a dog !! #CryingMyLilEyesOut,off-topic,<user> : got ate out by a dog ! <repeat> <hashtag> cryingmylileyesout
5,'326517344677543938',She hasn't texted back though.,off-topic,she has n't texted back though .
6,'324738415012749312',If you don't want an absence then leave after school regardless give blood tomorrow!!!!,off-topic,if you do n't want an absence then leave after school regardless give blood tomorrow ! <repeat>
7,'327148225670815745',76639: Special Weather Statement issued April 10 at 1:34PM CDT  by NWS Dallas-Fort Worth http://t.co/YKeZJBmdrk,off-topic,<number> special weather statement issued april <number> at <number> pm <allcaps> cdt <allcaps> by nws <allcaps> dallas-fort worth <url>
8,'324686176609005568',@cdev22 @mere_ann For the movie marathons and random road trips to Katie's. keep in my mind who your GBig is!,off-topic,<user> <user> for the movie marathons and random road trips to katie 's . keep in my mind who your gb <allcaps> ig is !
9,'324320536907886592',I really don't want my mama to drop me off at the airport,off-topic,i really do n't want my mama to drop me off at the airport
10,'325136886425346048',I'll give you a million +1 reasons to stay,off-topic,i 'll give you a million <number> reasons to stay
11,'324670118573506560',I need friends my age here in Waco.. The people I know here are too old,off-topic,i need friends my age here in waco . <repeat> the people i know here are too old
12,'328161740942610432',Basically I want a way to collect name/email/phone for ppl I meet on the go-randomly or having it set up &amp; rdy at events.Anyone know of one?,off-topic,basically i want a way to collect name / email / phone for ppl i meet on the go-randomly or having it set up & rdy at events.anyone know of one ?
13,'324555047000223745',We must meet the uncertainties of this world with the certainty of the world to come #Tozer,off-topic,we must meet the uncertainties of this world with the certainty of the world to come <hashtag> tozer
14,'326150273590517760',i really don't want to be in Riesel right now... IM. SO. BORED..,off-topic,i really do n't want to be in riesel right now . <repeat> im <allcaps> . so <allcaps> . bored <allcaps> . <repeat>
15,'326846377474793474',The moral of this story is YOU CAN'T TRUST THE SYSTEM,off-topic,the moral of this story is you <allcaps> can <allcaps> ' t trust <allcaps> the <allcaps> system <allcaps>
16,'325138982184820736',Been jammin to it ever since.,off-topic,been jammin to it ever since .
17,'327575549088247808',Don't know what else to do with it,off-topic,do n't know what else to do with it
18,'327273668478640128',"@Obey_LuulOddi: These hoes mad , fuck yo mad ass &amp; them feelings",off-topic,"<user> : these hoes mad , fuck yo mad ass & them feelings"
19,'324915904473354242',#Baylor students gather together to pray at campus-wide service. #prayforwest #diadeloso13 #diadelWEST http://t.co/kEeUIP0iXu,on-topic,<hashtag> baylor students gather together to pray at campus-wide service . <hashtag> prayforwest <hashtag> diadeloso <number> <hashtag> diadelwest <allcaps> <url>
20,'324930344660901889',"Nearly every Main St mom n pop shop closed in West, Tx... Windows shattered by blast. http://t.co/sfUbaX5uYE",on-topic,"nearly every main st mom n pop shop closed in west , tx . <repeat> windows shattered by blast . <url>"
21,'328285391113297920',"@wingoz just for his inspirational value, he'd be my HC",off-topic,"<user> just for his inspirational value , he 'd be my hc <allcaps>"
22,'325099131028791296',@thatgirl_kei I don't have mine yet bc he's getting the actual diamond over there but this is mine  http://t.co/VxMV8nJGYR,off-topic,<user> i do n't have mine yet bc he 's getting the actual diamond over there but this is mine <url>
23,'325400920072540160',"Up all night, Pack is in the house, what we make the girls do? Wolfpack make ya booty bounce, boppa. Bend,breathe,stretch, bitch let it go",off-topic,"up all night , pack is in the house , what we make the girls do ? wolfpack make ya booty bounce , boppa . bend , breathe , stretch , bitch let it go"
24,'328273999303933953',Guys....why am I sick again....,off-topic,guys . <repeat> why am i sick again . <repeat>
25,'325280871206764544',I swear I stay listening to music it's the answer to all my problems lol,off-topic,i swear i stay listening to music it 's the answer to all my problems lol
26,'325056386855755777',When you reach into your pocket and expect to find mayonnaise packets... #fatkidproblems @RissLaffey,off-topic,when you reach into your pocket and expect to find mayonnaise packets . <repeat> <hashtag> fatkidproblems <user>
27,'325256461011800064',Aint no fighting for fun nigga,off-topic,aint no fighting for fun nigga
28,'325392611928072192',When 2 older mexican ladies talk about Facebook,off-topic,when <number> older mexican ladies talk about facebook
29,'324946569529004032',@LowellMBrown @flores4congress Providence Waco says they aren't taking any more blood donations today,on-topic,<user> <user> providence waco says they are n't taking any more blood donations today
30,'326885107992510464',@areese13 she misses you. Lets all have a sleepover soon :) her two favorite daughters,off-topic,<user> she misses you . lets all have a sleepover soon <smile> her two favorite daughters
31,'326004113110360064',She stay missing me but I never miss her,off-topic,she stay missing me but i never miss her
