,tweet id, tweet, label,tweet_cleaned
0,'296728042179534848',"@MarkSDobson I always thought that, big lad aint he, must pump some serious lead! Unless he is on the gear like @darrennorton60 #Jabber",off-topic,"<user> i always thought that , big lad aint he , must pump some serious lead ! unless he is on the gear like <user> <hashtag> jabber"
1,'296085045645570048',@thamonstar a lot of water moving around and a bit dirty. Probably should give it a miss today,on-topic,<user> a lot of water moving around and a bit dirty . probably should give it a miss today
2,'296811076400603136',"Craig Thompson to be extradited to Victoria on 149 fraud charges. Oh to be on the plane, with him in handcuffs. #auspol",off-topic,"craig thompson to be extradited to victoria on <number> fraud charges . oh to be on the plane , with him in handcuffs . <hashtag> auspol"
3,'295357934387486720',"Sunshine state, sort your shit out.",off-topic,"sunshine state , sort your shit out ."
4,'296390762210398210',@MarkPhilippi yeah I saw it. He's a wanker. Paul Kent was brilliant at that,off-topic,<user> yeah i saw it . he 's a wanker . paul kent was brilliant at that
5,'296843667321278464',@Purpletiger79 I really enjoyed doing a photo a day. I think Ima continue &amp; do Feb. Are you?,off-topic,<user> i really enjoyed doing a photo a day . i think ima continue & do feb. are you ?
6,'295330152093712384',The Sunshine Coast? @ Noosa Heads http://t.co/mgPOgMbF,off-topic,the sunshine coast ? @ noosa heads <url>
7,'296744122075729920',"Okay, new favourite piracy metaphor: paying for content as buying indulgences for the sin of piracy.",off-topic,"okay , new favourite piracy metaphor : paying for content as buying indulgences for the sin of piracy ."
8,'296354176542334977',WHAT MY GUM IS ALL SWOLLEN OMG AM I GOING TO DIE,off-topic,what <allcaps> my <allcaps> gum <allcaps> is <allcaps> all <allcaps> swollen <allcaps> omg <allcaps> am <allcaps> i going <allcaps> to <allcaps> die <allcaps>
9,'296143150605553664',Sun and Waves. #finally @ Palm Beach http://t.co/PPfDVzJB,off-topic,sun and waves . <hashtag> finally @ palm beach <url>
10,'296581730612162560',My toe is in so much pain arghhhh,off-topic,my toe is in so much pain argh <elong>
11,'296504340003291136',@RehdersCorner Both @pressdarling and @GigaRussian are eligible for the NBA perk. Maybe one of them can give you their code? :),off-topic,<user> both <user> and <user> are eligible for the nba <allcaps> perk . maybe one of them can give you their code ? <smile>
12,'295322319302295552',"To ALL of my friends,in the UK &amp; Australia,stay safe &amp; look after yourself &amp; your loved ones",on-topic,"to all <allcaps> of my friends , in the uk <allcaps> & australia , stay safe & look after yourself & your loved ones"
13,'296805216077111297',Looking at what new piercings I can get in the future wish I had  (@ Skin Candy) http://t.co/LmgdJwMc,off-topic,looking at what new piercings i can get in the future wish i had -LRB- @ skin candy -RRB- <url>
14,'296599444361711617',@thejay_i_h He doesn't know I've made a list let alone him being at the top of it,off-topic,<user> he does n't know i 've made a list let alone him being at the top of it
15,'296936072703774720',Get over it Choc you lost.  Anyone with half a brain could see it. http://t.co/ythaSNX6,off-topic,get over it choc you lost . anyone with half a brain could see it . <url>
16,'296598844987293696',Like I don't even remember the born this way or monster balls it still seems surreal idk,off-topic,like i do n't even remember the born this way or monster balls it still seems surreal idk
17,'295485547990892544',@LiamPayne69me hey babe could I please get a follow :),off-topic,<user> hey babe could i please get a follow <smile>
18,'297239714937847811',I just ousted @benhamilton as the mayor of Pizza Lane on @foursquare! http://t.co/TsXgQqdt,off-topic,i just ousted <user> as the mayor of pizza lane on <user> ! <url>
19,'296591338063925248',@larryemdur you have my vote!,off-topic,<user> you have my vote !
20,'295461064844394497',@LozzKip I know I was a bit scared :(,off-topic,<user> i know i was a bit scared <sadface>
21,'297092543911428096',@NiallOfficial can I make you a cake? Which type,off-topic,<user> can i make you a cake ? which type
22,'296852330584883200',What if the boys come to Movie World when I'm working next week OMG,off-topic,what if the boys come to movie world when i 'm working next week omg <allcaps>
23,'296614618569269248',@StevieDacanay i wish i could afford to fly over from Oz for this!,off-topic,<user> i wish i could afford to fly over from oz for this !
24,'297074860973236225',Coming up on @TheTodayShow the 2 Gold Coast surf rescue heroes Nick &amp; Angus http://t.co/cpdHmuBr,off-topic,coming up on <user> the <number> gold coast surf rescue heroes nick & angus <url>
25,'297332066197069824',@R_McEwan @greglovey not yet buddy but 2 good lookin' civvy's like yourselves finding a job should be easy I'll even provide the pool table!,off-topic,<user> <user> not yet buddy but <number> good lookin ' civvy 's like yourselves finding a job should be easy i 'll even provide the pool table !
26,'295412327640080384',Waiting out the storm  with slipped_diss  @ Kookaburra Cafe http://t.co/Pwubs60t,on-topic,waiting out the storm with slipped_diss @ kookaburra cafe <url>
27,'295444466049875968',@peacelovevegan I have BG on my list to watch.,off-topic,<user> i have bg <allcaps> on my list to watch .
28,'295325443991674881',@Ellendoughty it's ridiculous how they're implying that first and foremost it's the victim's fault... Fucking disgusting.,off-topic,<user> it 's ridiculous how they 're implying that first and foremost it 's the victim 's fault . <repeat> fucking disgusting .
29,'295706437026455553',#FitzroyRiver catchment is 2nd largest in #AUS and peak not expected to hit #Rockhampton for another week! #BigWet #QldFloods,on-topic,<hashtag> fitzroyriver catchment is <number> nd largest in <hashtag> aus <allcaps> <allcaps> and peak not expected to hit <hashtag> rockhampton for another week ! <hashtag> bigwet <hashtag> qldfloods
30,'296570783952683009',"Me, Dallas and joeeyy33 . We on that patron boys !! #fuckinwasted #drunkennights #kayjays21st @ Hot Gossip http://t.co/aMISLwdE",off-topic,"me , dallas and joeeyy <number> . we on that patron boys ! <repeat> <hashtag> fuckinwasted <hashtag> drunkennights <hashtag> kayjays <number> st @ hot gossip <url>"
31,'296230998406991872',Works was hectic today. So much drama for one small business :/,off-topic,works was hectic today . so much drama for one small business : /
32,'295386316911304704',@yougomarniecoco that's what they are saying.,off-topic,<user> that 's what they are saying .
33,'296487108682596353',I DUN LIKE MY MATH AND BUSINESS CLASS HERE. K bye.,off-topic,i dun <allcaps> like <allcaps> my <allcaps> math <allcaps> and <allcaps> business <allcaps> class <allcaps> here <allcaps> . k bye .
34,'295509502428585985',@PuddStrikesBack *damn fat fingers* and you could cock punch him in the bacon bits,off-topic,<user> * damn fat fingers * and you could cock punch him in the bacon bits
35,'295748669506985984',I've finally seen the wind turbines! Impressive! (@ Windy Hill Wind Farm w/ @mr_billiam) http://t.co/wMYAswl8,off-topic,i 've finally seen the wind turbines ! impressive ! -LRB- @ windy hill wind farm w / <user> -RRB- <url>
36,'295694935141777408',Enjoying your #AustraliaDay holiday? Check my blog post! http://t.co/zjPIX0FN #Australia #indigenous,off-topic,enjoying your <hashtag> australiaday holiday ? check my blog post ! <url> <hashtag> australia <hashtag> indigenous
37,'295770976069767168',@Cast_Nath @sbear0112 wow that was a while ago,off-topic,<user> <user> wow that was a while ago
38,'297449290941485056',@MicalSpears4SBF Friday is over Saturday is here where I am off to support INM at an aboriginal corroboree. Blessings on you &amp; your Friday..,off-topic,<user> friday is over saturday is here where i am off to support inm <allcaps> at an aboriginal corroboree . blessings on you & your friday . <repeat>
39,'296204996020666368',@LittleBirdie87 Ugh he's just so condescending and pretentious. It's a pity they're the Queensland team.,off-topic,<user> ugh he 's just so condescending and pretentious . it 's a pity they 're the queensland team .
40,'296805064100696065',Using lunch break to take photos for CV. #ActorLife,off-topic,using lunch break to take photos for cv <allcaps> . <hashtag> actorlife
41,'296181708775104512',@Abloorable well done. You forgot to mention 86 twitter accounts!,off-topic,<user> well done . you forgot to mention <number> twitter accounts !
42,'295423828056735744',son and family have tickets for the Keith urban concert flew down on Friday disappointed #themthebreaks,off-topic,son and family have tickets for the keith urban concert flew down on friday disappointed <hashtag> themthebreaks
43,'297296788623339520',Friday market (at Elizabeth Street) [pic]  http://t.co/3jQ38CZ1,off-topic,friday market -LRB- at elizabeth street -RRB- -LSB- pic -RSB- <url>
44,'296770942183563264',@sherwin 1000 pages is far too long for my feeble brain right now,off-topic,<user> <number> pages is far too long for my feeble brain right now
45,'296779257764515842',Mhmm watching basketball on tv ATM and them hot cheerleaders! Holy shit! 8=========D,off-topic,mhmm watching basketball on tv atm <allcaps> and them hot cheerleaders ! holy shit ! <number> ======== <smile>
46,'296555563809132544',@Sky_W82 lol i dont like photos of me.,off-topic,<user> lol i dont like photos of me .
47,'295681670592471042',".....the rowing club next to out apartment block is underwater, warm &amp; wet....",on-topic,". <repeat> the rowing club next to out apartment block is underwater , warm & wet . <repeat>"
