,label,tweet_cleaned,tweet_text
0,NO,this asshole parks in my parking spot at work and goes somewhere else . i blocked his ass in with my car . he not going anywhere,This asshole parks in my parking spot at work and goes somewhere else. I blocked his ass in with my car. He not going anywhere
1,NO,mid afternoon study session by the fire . <hashtag> winterdays <hashtag> fire <hashtag> studying <hashtag> christmas <hashtag> tistheseason <url>,Mid afternoon study session by the fire. #winterdays #fire #studying #christmas #tistheseason http://t.co/RdWT85vY
2,YES,accident reported in bothell - sb <allcaps> <number> before sr <allcaps> <number> right lane . already looks slow from nearly i <number>,"Accident reported in Bothell - SB 405 before SR 527, right lane. Already looks slow from nearly I-5"
3,YES,route # <number> is temporarily off route due to vehicle failure . we apologize for the inconvenience .,Route # 13 is temporarily off route due to vehicle failure. We apologize for the inconvenience.
4,NO,"<hashtag> seahawks injury report : dnp <allcaps> - bryant -LRB- foot -RRB- , hill -LRB- ankle -RRB- . limited - lynch -LRB- back -RRB- , scruggs -LRB- oblique -RRB- .","#seahawks injury report: DNP - Bryant (foot), Hill (ankle). Limited - Lynch (back), Scruggs (oblique)."
5,NO,"wednesday injury report : dnp <allcaps> - bryant -LRB- foot -RRB- , hill -LRB- ankle -RRB- . lp <allcaps> - lynch -LRB- back -RRB- , scruggs -LRB- oblique -RRB- <url>","Wednesday Injury Report: DNP - Bryant (foot), Hill (ankle). LP - Lynch (back), Scruggs (oblique) http://t.co/ALJ41LFc"
6,NO,"<number> cars in the drive thu , two people in line inside , one major traffic jam stretching <number> lots , get <allcaps> out <allcaps> of <allcaps> your <allcaps> cars <allcaps> you <allcaps> lazy <allcaps> sammamish <allcaps> cunts <allcaps> !","9 cars in the drive thu, two people in line inside, one major traffic jam stretching 2 lots, GET OUT OF YOUR CARS YOU LAZY SAMMAMISH CUNTS!"
7,YES,crash blocks the right lane sb <allcaps> <number> north of <number> or south of i <number> however you want to look at it . backup from i <number>,"Crash blocks the right lane SB 405 north of 527 or south of I-5, however you want to look at it. Backup from I-5."
8,NO,"seahawks at bears : wednesday 's injury report : the bears had six players sit out wednesday 's practice , including . <repeat> <url>","Seahawks at Bears: Wednesday's injury report: The Bears had six players sit out Wednesday's practice, including... http://t.co/eYGY3lAf"
9,NO,what if we had a game jam jam ? a jam for game jam ideas .,What if we had a game jam jam?  A jam for game jam ideas.
10,NO,cars and women : timing is everything . <repeat> <hashtag> cars <hashtag> women <hashtag> dance <url>,Cars and Women: Timing is Everything... #cars #women #dance http://t.co/EuT9GTPd
11,NO,"i just wan na smoke and eat , smoke and eat .","I just wanna smoke and eat, smoke and eat."
12,NO,i think i 'm just gon na work on cars for the rest of my life . i like cars .,I think I'm just gonna work on cars for the rest of my life. I like cars.
13,NO,"when you 're in the car , and you look at the people in the car next to you , and they 're already looking at you . <hashtag> hellaawkward","When you're in the car, and you look at the people in the car next to you, and they're already looking at you. #hellaawkward"
14,NO,vehicle - cars in ballard <hashtag> fmsphotoaday <url>,Vehicle - Cars in Ballard #fmsphotoaday http://t.co/jV6Av1Pj
15,NO,those fire lanterns are very beautiful but i am concerned about the fire hazard . how do they not burn down entire neighborhoods ? <hashtag> skeptic,those fire lanterns are very beautiful but I am concerned about the fire hazard. how do they not burn down entire neighborhoods? #skeptic
16,NO,the police are searching for some drunk dude in my neighborhood and they searched my mom 's car and i 'm just a little freaked out .,The police are searching for some drunk dude in my neighborhood and they searched my mom's car and I'm just a little freaked out.
17,YES,accident in bellevue reported - wb <allcaps> <number> before <number> hov <allcaps> lane . slow approaching scene,"Accident in Bellevue reported - WB 90 before 405, HOV lane. Slow approaching scene"
18,NO,"seahawks injury report for wednesday : red bryant , leroy hill banged up <url>","Seahawks injury report for Wednesday: Red Bryant, Leroy Hill banged up http://t.co/XhmO9Tfj"
19,NO,seahawks at bears : wednesday 's injury report : seahawks injury reportwednesdaythursdayfridayoutoutoutd <allcaps> id not pra . <repeat> <url>,Seahawks at Bears: Wednesday's injury report: Seahawks injury reportWednesdayThursdayFridayOUTOUTOUTDid not pra... http://t.co/b4OTKMc0
20,NO,me and my dad sing pearl jam together in the car . <smile> and i still do my cat daddy,Me and my dad sing pearl jam together in the car. :) and I still do my cat daddy
21,YES,"ack ! nb <allcaps> <number> after <number> th , crash blocks the right lane and sb <allcaps> <number> c-d lanes north of i <number> crash in the left lane .","Ack! NB 167 after 212th, crash blocks the right lane and SB 5 C-D lanes north of I-90, crash in the left lane."
22,YES,"accident reported in kent - nb <allcaps> <number> before <number> th , right lane . slow from <number> th","Accident reported in Kent - NB 167 before 180th, right lane. Slow from 212th"
23,NO,this literally is the biggest blunt i 've smoked . bigger than the one i rolled at jack 's last winter break .,This literally is the biggest blunt I've smoked. Bigger than the one I rolled at Jack's last winter break.
24,YES,"well , let 's add this in to the mix - sb <allcaps> <number> at <number> th , crash blocks the two <allcaps> right lanes !","Well, let's add this in to the mix- SB 5 at 320th, crash blocks the TWO right lanes!"
25,NO,<hashtag> <number> disney cars kids ' crskq <allcaps> <number> time teacher watch : disney cars kids ' crskq <allcaps> <number> time teacher watch disney -LRB- visit t . <repeat> <url>,#5: Disney Cars Kids' CRSKQ442 Time Teacher Watch: Disney Cars Kids' CRSKQ442 Time Teacher Watch Disney (Visit t... http://t.co/J0Dfg5lR
26,NO,off-duty officer arrested following report of dv <allcaps> incident : an off-duty seattle police officer was arrested late last . <repeat> <url>,Off-Duty Officer Arrested Following Report of DV Incident: An off-duty Seattle Police Officer was arrested late last... http://t.co/Hincogvv
27,YES,motor vehicle accident | s orcas st / m l king jr way s | units : e <number>,Motor Vehicle Accident | S Orcas St / M L King Jr Way S | Units: E28
28,YES,car fire | <number> th av / e jefferson st | units : e <number>,Car Fire | 14th Av / E Jefferson St | Units: E25
29,NO,breaking <allcaps> news <allcaps> breaking <allcaps> news <allcaps> : third <allcaps> temple <allcaps> being <allcaps> rebuilt <allcaps> <number> ! <repeat> <url>,BREAKING NEWS BREAKING NEWS: THIRD TEMPLE BEING REBUILT 11.27.12!!! http://t.co/N2oesik2
30,YES,accident reported in north seattle - nb <allcaps> <number> express lanes before northgate . <repeat>,Accident reported in north Seattle - NB 5 express lanes before Northgate...
31,NO,nfl <allcaps> injury report san francisco chronicle,NFL Injury Report  San Francisco Chronicle
32,NO,"the new york city police officer are the best i have ever seen . they are funny as heck , they expect you to break rules . awesome !","The New York City Police officer are the best I have ever seen. They are funny as heck, they expect you to break rules. Awesome!"
33,NO,"duck 's biannual head injury : the streak continues ! smacked myself with my car door , rounding out <number> <hashtag> earsareringing","Duck's Biannual Head Injury: The streak continues! Smacked myself with my car door, rounding out 2012. #EarsAreRinging"
34,NO,nfl <allcaps> injury report san francisco chronicle <url>,NFL Injury Report  San Francisco Chronicle http://t.co/QZMianWW
35,NO,"freshman year : omg i saw someone smoke weedsophomore year : i 'm so cool , i smoke weed all day everyday , totally a stoner","Freshman year :omg I saw someone smoke weedSophomore year : I'm so cool, I smoke weed all day everyday, totally a stoner"
36,NO,just seen a dumb ass rear-ended a police car .,Just seen a dumb ass rear-ended a police car.
37,NO,when you 're stuck in traffic forever and finally pass an accident in the shoulder <allcaps> lane and realize that <allcaps> is the reason why smh .,When you're stuck in traffic forever and finally pass an accident in the SHOULDER lane and realize THAT is the reason why smh.
38,YES,motorcycle down just north of <hashtag> ballard bridge . emergency vehicles on scene . be careful around there .,Motorcycle down just north of #Ballard bridge. Emergency vehicles on scene. Be careful around there.
39,NO,"hahaha dumb ass ~ ~ ~ ~ & gt.mark sanchez breaks butt fumble silence : it was just like a car accident . i was like , whoa , what just happened ?","Hahaha dumb ass~~~~&gt.Mark Sanchez breaks Butt Fumble silence: It was just like a car accident. I was like, Whoa, what just happened?"
40,NO,<hashtag> questionpro behind the scenes of the questionpro infographics report feature : if youre a marketing person that . <repeat> <url>,#questionpro Behind the Scenes of the QuestionPro Infographics Report Feature: If youre a marketing person that... http://t.co/2xdsCUum
41,NO,i need to smoke . i need to smoke . i neeeeeeeed . to . smoke <allcaps>,I need to smoke. I need to smoke. I neeeeeeeed. To. SMOKE
42,YES,"second fire evacuation of the week . pretty sure someone just burned dinner , but we 're all outside with our dogs anyway . <hashtag> safetyfirst","Second fire evacuation of the week. Pretty sure someone just burned dinner, but we're all outside with our dogs anyway. #safetyfirst"
43,NO,my hallway has more traffic than pac highway . <repeat> <hashtag> sorryimnotsorry,My hallway has more traffic than Pac Highway.. #sorryimnotsorry
44,NO,"if samsung was smart , they 'd post that i also made you a video on their website - i bet the server would crash with all the traffic . <repeat>","If Samsung was smart, they'd post that I also made you a video on their website - I bet the server would crash with all the traffic.."
45,NO,"in wilson 's first <number> road games , he averaged a total qbr <allcaps> of <number> improved to <number> over his last two road starts , tho .","In Wilson's first 4 road games, he averaged a Total QBR of 29.2.  Improved to 92.3 over his last two road starts, tho."
46,NO,"<hashtag> <number> kindle fire <number> lcd <allcaps> display , wi-fi , <number> gb <allcaps> : kindle fire <number> lcd <allcaps> display , wi-fi , <number> gb <allcaps> by amazon . <repeat> <url> <hashtag> deals <hashtag> sales","#5: Kindle Fire 7, LCD Display, Wi-Fi, 8 GB: Kindle Fire 7, LCD Display, Wi-Fi, 8 GB by Amazon  ... http://t.co/imxtPXho #deals #sales"
47,YES,motor vehicle accident | <number> bartlett av ne | units : e <number>,Motor Vehicle Accident | 12039 Bartlett Av Ne | Units: E39
48,NO,"great cross after running down a pass by cheaney . nearly set up leroux , but it was blocked . corner attempt by rodriguez blocked too <hashtag> close","great cross after running down a pass by Cheaney. Nearly set up Leroux, but it was blocked. Corner attempt by Rodriguez blocked too #close"
49,NO,it 's been a while since i 've been at my breaking point . in this week . <repeat> i have met my breaking point again . <hashtag> stressedtothemax <hashtag> somuchpressure,It's been a while since I've been at my breaking point. In this week.. I have met my breaking point again. #stressedtothemax #somuchpressure
50,NO,"despite ufo <allcaps> reports , officials say no missile crashed incolorado - <url>","Despite UFO reports, officials say no missile crashed inColorado - http://t.co/Q9BAWcy0"
51,NO,"i wonder who i pissed off to get such bad karma . car accident on monday , now my laptop crashed and wo n't turn on . i 'm <number> % done . ? <repeat>","I wonder who I pissed off to get such bad karma. Car accident on Monday, now my laptop crashed and won't turn on. I'm 5000% done. ??????"
52,NO,i smoke . you smoke . lets hotbox dis beeetch .,I smoke. You smoke. Lets hotbox dis beeetch.
53,NO,crash into me by <hashtag> dmb can do no wrong . it never gets old <hashtag> jams,crash into me by #dmb can do no wrong. it never gets old #jams
54,NO,"so <allcaps> let <allcaps> 's set <allcaps> the <allcaps> world <allcaps> on <allcaps> fire <allcaps> , we <allcaps> can <allcaps> burn <allcaps> brighter <allcaps> than <allcaps> the <allcaps> suuuuuuuuuuuuuuuuun <allcaps> .","SO LET'S SET THE WORLD ON FIRE, WE CAN BURN BRIGHTER THAN THE SUUUUUUUUUUUUUUUUUN."
55,NO,bobbi kristina -- wrecks <allcaps> camaro in nasty car accident,Bobbi Kristina -- WRECKS Camaro in Nasty Car Accident
56,NO,i ca n't wait for winter break . loljk <allcaps> i 've been on break for like <number> months now .,I can't wait for Winter break. LOLJK I've been on break for like 6 months now.
57,NO,while i was jerking off my dick fell off into the toilet where i was being in and the acid burned my hand and my i watched my dick burn,While i was jerking off my dick fell off into the toilet where i was being in and the acid burned my hand and my i watched my dick burn
58,YES,auto fire alarm | <number> seneca st | units : b <number> e <number> e <number> l <number>,Auto Fire Alarm | 925 Seneca St | Units: B5 E10 E25 L10
59,NO,"match report from portland , where the cold weather did n't stop the <hashtag> uswnt <allcaps> <allcaps> from catching fire and beating ireland <number> <number> <url> .","Match report from Portland, where the cold weather didn't stop the #USWNT from catching fire and beating Ireland 5-0: http://t.co/FuSyLpVw."
60,NO,sad to hear of zig ziglar 's passing today . one of my favorite zig quotes : there are no traffic jams on the extra mile .,Sad to hear of Zig Ziglar's passing today.  One of my favorite Zig quotes: There are no traffic jams on the extra mile.
61,NO,"in picture to burn , taylor swift sings like she 's breaking up with a pickup truck .","In Picture To Burn, Taylor Swift sings like she's breaking up with a pickup truck."
62,YES,tacoma police investigating car crash into home . car ended up in middle of the street . more coming . <hashtag> tacoma <url>,Tacoma police investigating car crash into home. Car ended up in middle of the street. More coming. #tacoma http://t.co/shK8noaj
63,YES,car being pursued by law enforcement crashed into a tacoma home overnight . driver injured . investigation underway .,Car being pursued by law enforcement crashed into a Tacoma home overnight. Driver injured. Investigation underway.
